FEATURE	SYNTAX	STATUS	WINDOWS	LINUX	MAC	V1/V2 BEHAVIOR	NOTES
array.MaxIndex()	arr.MaxIndex()	Working				V1	Returns the largest integer contained in the array. Returns empty string if no integers are present.
Base	arr.Base	Working	Yes			DIFF	Retrieves the value's base object. Differs in that it only returns the name of the base type as a string.
ObjGetBase	arr.ObjGetBase()	Working	Yes			DIFF	Retrieves the value's base object. Differs in that it only returns the name of the base type as a string.
ObjSetBase	arr.ObjSetBase(obj)		UNS	UNS	UNS	UNS	Getting or setting an object's base class is not supported in C#.
							
							
map.Count()	m.Count()	Working				V2	Retrieves the number of key-value pairs present in the map.
map.Delete()	"m.Delete(""key"")"	Working				V2	"Deletes a key/value pair out of a map if the key exists, else throws an exception. "
map.Has()	"m.Has(""key"")"	Working				V2	"Returns whether a dictionary contains a value, even an empty one, for the given key."
map.Set()	"m.Set(k1, v1, k2, v2, k3, v3)"	Working				V2	Sets zero or more items.
map.CaseSense	m.CaseSense	Working	Yes			V2	Retrieves or sets the map's case sensitivity setting.
map.Clone()	m.Clone()	Working				V2	Returns a shallow copy of all of the values and keys of the map.
map.Clear()	m.Clear()	Working				V2	Clears all key/value pairs in a map.
map.__Enum()	m.__Enum()	Working				V2	Enumerates key-value pairs.
map.GetCapacity()	m.GetCapacity()	Working				V2	Retrieves the current capacity of the map.
map.Capacity()	m.Capacity()	Working				V2	Retrieves the current capacity of the map.
map.SetCapacity()	m.SetCapacity()	Working				V2	Sets the capacity of the map.
map.MinIndex()	m.MinIndex()	Working				V1	Returns the smallest integer key contained in the map. Returns empty string if no keys were integers.
map.MaxIndex()	m.MaxIndex()	Working				V1	Returns the largest integer key contained in the map. Returns empty string if no keys were integers.
							
							
							
Object Methods							
							
Clone()							
DefineProp()							
DeleteProp()							
GetOwnPropDesc()							
HasOwnProp()							
OwnProps()							
Call()							
							
Object Properties							
							
Base							
							
Object Related Functions							
							
ObjSetBase()							
ObjGetCapacity()							
ObjSetCapacity()							
ObjOwnPropCount()							
ObjHasOwnProp()							
ObjOwnProps()							
							
Error							
							
Error Properties							
							
Message							
What							
Extra							
File							
Line							
Stack							
							
Error Subclasses							
							
IndexError							
KeyError							
MemberError							
PropertyError							
MethodError							
MemoryError							
OSError							
TargetError							
TimeoutError							
TypeError							
ValueError							
ZeroDivisionError							
							
File							
							
File Methods							
							
Read()							
Write()							
ReadLine()							
WriteLine()							
ReadNumType()							
WriteNumType()							
RawRead()							
RawWrite()							
Seek()							
Close()							
							
File Properties							
							
Pos							
Length							
AtEOF							
Encoding							
Handle							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
Built-in Functions							
Frequently-used Functions							
							
							
GetKeyState()							
							
							
							
							
							
							
							
WinActive()							
WinExist()							
							
Environment Functions							
							
A_Clipboard							
ClipboardAll()							
ClipWait()	ClipWait(0.5)	Working	YES			V1	
EnvGet()	"x := EnvGet(""varname"")"	Working	YES			V2	"Returns the value of the specified environment variable if it exists, else it returns an empty string."
EnvSet()	"EnvSet(""varname"", ""varval"")"	Working	YES			V1	Sets the specified environment variable to the specified value. Using a value of null deletes the variable.
EnvUpdate()	EnvUpate	Working	YES			V1	Broadcasts all environment changes to all programs. Note this uses SendMessageTimeout() with a timeout of 1s per top level window because SendMessage() appears to freeze when running within a unit test.
OnClipboardChange()	"OnClipboardChange(""funcname"", 1)"	Working	YES			DIFF	Wires up an event to be called when the clipboard contents are change. Note the deprecated label method of this function is not supported.
SysGet()	SysGet(object)	Working	YES			V2	Gets various system information. Can accept either an integer or an enum.
SysGetIPAddresses()							
							
External Libraries							
							
DllCall()							
NumGet()							
NumPut()							
RegisterCallback()							
StrGet()							
StrPut()							
VarSetCapacity()							
							
COM Functions							
							
ComObjActive()							
ComObjArray()							
ComObjConnect()							
ComObjCreate()							
ComObject()							
ComObjEnwrap()							
ComObjUnwrap()							
ComObjError()							
ComObjFlags()							
ComObjGet()							
ComObjMissing()							
ComObjParameter()							
ComObjQuery()							
ComObjType()							
ComObjValue()							
							
							
File and Directory Functions							
							
DirCopy()	"DirCopy(""/path1"", ""/path2"")"		YES			V2	Copies a folder along with all its sub-folders and files (similar to xcopy).
DirCreate()	"DirCreate(""/path1"")"		YES			V2	"Creates a folder, and all of its parent folders if needed."
DirDelete()	"DirDelete(""/path1"")"		YES			V2	"Deletes a folder, optionally recursive."
DirExist()	"x := DirExist(""/path1/file1.txt"")"		YES			V2	Checks for the existence of a folder and returns its attributes.
DirMove()	"DirMove(""/path1"", ""/path2"")"		YES			V2	Moves a folder along with all its sub-folders and files. It can also rename a folder.
FileAppend()	"FileAppend(""text"", ""file.txt"")"		YES			V2	"Writes text or binary data to the end of a file (first creating the file, if necessary)."
FileCopy()	"FileCopy(""path/*.txt"", ""path2/"")"		YES			V2	Copies one or more files.
FileCreateShortcut()	"FileCreateShortcut(""/path/to/file.txt"", ""/path/to/shct.lnk"")"		YES			V2	Creates a shortcut (.lnk) file.
FileDelete()	"FileDelete(""./dir/*.txt"")"		YES			V2	Deletes one or more files.
FileEncoding()	"FileEncoding(""utf-8"")"		YES			V2	"Sets the default encoding for FileRead, Loop Read, FileAppend, and FileOpen."
FileExist()	"FileExist(./path/*.txt"")"		YES			V2	Checks for the existence of a file or folder and returns its attributes.
FileFullPath()	"FileFullPath(""../../file.txt"")"		YES			NEW	Returns the fully qualified path of the relative path passed in.
FileGetAttrib()	"FileGetAttrib(""file.txt"")"		YES			V2	"Reports whether a file or folder is read-only, hidden, etc."
FileGetShortcut()	"x := FileGetShortcut(""./file.lnk"")"		YES			V2	"Retrieves information about a shortcut (.lnk) file, such as its target file."
FileGetSize()	"FileGetSize(""file.txt"")"		YES			DIFF	"Retrieves the size of a file. Also allows for passing ""t"" to return the size in terms of terrabytes."
FileGetTime()	"FileGetTime(""file.txt"")"		YES			V2	Retrieves the datetime stamp of a file or folder.
FileGetVersion()	"FileGetVersion(""file.txt"")"		YES			V2	Retrieves the version of a file.
FileInstall()	"FileInstall(""file.txt"")"		UNS	UNS	UNS	UNS	"All scripts are converted into compiled executables, so this doesn't apply."
FileMove()	"DirMove(""/path1/*.txt"", ""/path2/*.txt"")"		YES			V2	Moves or renames one or more files.
FileOpen()	"FileOpen(""file.txt"", ""w"", ""unicode"")"		YES			V2	Opens a file to read specific content from it and/or to write new content into it.
FileRead()	"FileRead(""file.txt"")"		YES			V2	Retrieves the contents of a file.
FileRecycle()	"FileRecycle(""/path/*.txt"")"		YES			V2	"Sends a file or directory to the recycle bin if possible, or permanently deletes it."
FileRecycleEmpty()	FileRecycleEmpty()		YES			V2	Empties the recycle bin.
FileSetAttrib()	"FileSetAttrib(""+R"", ""file.txt"")"		YES			V2	Changes the attributes of one or more files or folders. Wildcards are supported.
FileSetTime()	"FileSetTime(""20200101131415"", ""./DirCopy2/file1.txt"", 'm')"		YES			V2	Changes the datetime stamp of one or more files or folders. Wildcards are supported.
IniDelete()	"IniDelete(""./file.ini"", ""sectionone"", ""key1"")"		YES			V2	Deletes a value from a standard format .ini file.
IniRead()	"IniRead(""./file.ini"", ""sectionone"", ""key1"")"		YES			V2	"Reads a value, section or list of section names from a standard format .ini file."
IniWrite()	"IniWrite(""val1"", ""./file.ini"", ""sectionone"", ""key1"")"		YES			V2	Writes a value or section to a standard format .ini file.
SetWorkingDir()	"SetWorkingDir(""/path/to/dir"")"		YES			V2	Changes the script's current working directory.
SplitPath()	"SplitPath(""C:\path\to\file.txt"")"		YES			DIFF	"Separates a file name or URL into its name, directory, extension, and drive. Differs in that instead of writing to ref arguments, it returns a structure whose fields are what the original input parameter names would have been."
							
							
							
Process Functions							
							
ProcessClose()	"ProcessClose(""notepad.exe"")"	Working	YES			V2	Forces the first matching process to close.
ProcessExist()	"ProcessExist(""notepad.exe"")"	Working	YES			V2	Checks if the specified process exists.
ProcessSetPriority()	"ProcessSetPriority(""H"", ""notepad.exe"")"	Working	YES			V2	Changes the priority level of the first matching process.
ProcessWait()	"ProcessWait(""notepad.exe"", 1000)"	Working	YES			V2	Waits for the specified process to exist.
ProcessWaitClose()	"ProcessWaitClose(""notepad.exe"", 1000)"	Working	YES			V2	Waits for all matching processes to close.
Run[Wait]()	"x := ProcessRun[Wait](""notepad.exe"", ""./"", ""max"")"	Working	YES			DIFF	"Runs an external program. Unlike Run, RunWait will wait until the program finishes before continuing. Differs from V2 in that it returns the pid."
RunAs()	"RunAs(""user"", ""pw"", ""@computername"")"	Working	YES			V2	Specifies a set of user credentials to use for all subsequent uses of Run and RunWait.
Shutdown()	Shutdown(2)	Working	YES			V2	"Shuts down, restarts, or logs off the system."
							
							
							
Drive Functions							
							
DriveEject()	"DriveEject(""C:\"")"	Working	YES			V2	Ejects or retracts the tray of the specified CD/DVD drive.
DriveGetCapacity()	"x := DriveGetCapacity(""C:\"")"	Working	YES			V2	"Returns the total capacity of the drive which contains the specified path, in megabytes."
DriveGetFileSystem()	"x := DriveGetFileSystem(""C:\"")"	Working	YES			V2	Returns the type of the specified drive's file system.
DriveGetLabel()	"x := DriveGetLabel(""C:\"")"	Working	YES			V2	Returns the volume label of the specified drive.
DriveGetList()	x := DriveGetList()	Working	YES			V2	"Returns a string of letters, one character for each drive letter in the system."
DriveGetSerial()	"x := DriveGetSerial(""C:\"")"	Working	YES			V2	Returns the volume serial number of the specified drive.
DirveGetSpaceFree()	"x := DriveGetSpaceFree(""C:\"")"	Working	YES			V2	"Returns the free disk space of the drive which contains the specified path, in megabytes."
DriveGetStatus()	"x := DriveGetStatus(""C:\"")"	Working	YES			V2	Returns the status of the drive which contains the specified path.
DriveGetStatusCD()	"x := DriveGetStatusCD(""C:\"")"	Working	YES			V2	Returns the media status of the specified CD/DVD drive.
DriveLock()	"DriveLock(""C:\"")"	Working	YES			V2	Prevents the eject feature of the specified drive from working.
DriveSetLabel()	"DriveSetLabel(""abcd"")"	Working	YES			V2	Changes the volume label of the specified drive.
DriveUnlock()	"DriveUnlock(""C:\"")"	Working	YES			V2	Restores the eject feature of the specified drive.
DriveGetType()	"x := DriveGetType(""C:\"")"	Working	YES			V2	Returns the type of the drive which contains the specified path.
							
							
							
Screen Functions							
							
ImageSearch()	"x := ImageSearch(0, 0, 1000, 1000, ""file.bmp"")"	Working	YES			DIFF	"Searches a region of the screen for an image. Differs in that instead of writing to ref arguments, it returns a structure whose fields are what the original input parameter names would have been. Also does not support file types of .ani, .emf, .exif or .wmf. Only 32-bit color is supported."
PixelGetColor()	"x := PixelGetColor(10, 15)"	Working	YES			DIFF	Returns the pixel value at the specified coordinate as a hexadecimal string like 0x010203. Differs because the mode parameter is not supported because it is not needed.
PixelSearch()	"x := PixelSearch(0, 0, 1, 1, 0x010203)"	Working	YES			DIFF	"Searches a region of the screen for a pixel of the specified color. Differs in that instead of writing to ref arguments, it returns a structure whose fields are what the original input parameter names would have been."
							
							
Monitor Functions							
							
MonitorGet()	x := MonitorGet(1)	Working	YES			DIFF	"Checks if the specified monitor exists and optionally retrieves its bounding coordinates. Differs in that instead of writing to ref arguments, it returns a structure whose fields are what the original input parameter names would have been."
MonitorGetCount()	x := MonitorGetCount()	Working	YES			V2	Returns the total number of monitors.
MonitorGetName()	x := MonitorGetName(1)	Working	YES			V2	Returns the operating system's name of the specified monitor.
MonitorGetPrimary()	x := MonitorGetPrimary()	Working	YES			V2	Returns the number of the primary monitor.
MonitorGetWorkArea()	x := MonitorGetWorkArea()	Working	YES			DIFF	"Checks if the specified monitor exists and optionally retrieves the bounding coordinates of its working area. Differs in that instead of writing to ref arguments, it returns a structure whose fields are what the original input parameter names would have been."
							
							
Sound Functions							
							
SoundBeep()	"SoundBeep(800, 800)"	Working	YES			V2	Emits a tone from the PC speaker.
SoundGetInterface()	SoundGetInterface(guid)						Retrieves a native COM interface of a sound device or component.
SoundGetMute()	SoundGetMute(1)	Working	YES			DIFF	"Retrieves a mute setting of a sound device. Differs in that there is no support for components, so the function only takes one parameter: the 1-based index, or name for the device."
SoundGetName()	SoundGetName(1)	Working	YES			DIFF	"Retrieves the name of a sound device. Differs in that there is no support for components, so the function only takes one parameter: the 1-based index, or name for the device."
SoundGetVolume()	SoundGetVolume(1)	Working	YES			DIFF	"Retrieves a mute setting of a sound device. Differs in that there is no support for components, so the function only takes one parameter: the 1-based index, or name for the device."
SoundPlay()	"SoundPlay(""mywavfile.wav"")"	Working	YES			V2	"Plays a sound, video, or other supported file type."
SoundSetMute()	SoundSetMute(1)	Working	YES			DIFF	"Changes a mute setting of a sound device. Differs in that there is no support for components, so the function only takes one parameter: the 1-based index, or name for the device."
SoundSetVolume()	SoundSetVolume(1)	Working	YES			DIFF	"Changes a volume setting of a sound device. Differs in that there is no support for components, so the function only takes one parameter: the 1-based index, or name for the device."
							
							
IfExist()							
IfNotExist()							
LongPaths()							
Loop (files & folders)							
Loop (read file contents)							
SetWorkingDir()							
SplitPath()							
							
							
							
							
							
Gui Properties							
							
BackColor							
__Item							
FocusedCtrl							
Hwnd							
MarginX							
MarginY							
MenuBar							
Name							
Title							
							
							
Gui Functions							
							
Add()							
Destroy()							
Flash()							
GetClientPos()							
GetPos()							
Hide()							
Maximize()							
Minimize()							
Move()							
__Enum()							
OnEvent()							
Opt()							
Restore()							
SetFont()							
Show()							
Submit()							
							
Gui Static Functions							
							
Call()							
							
							
							
GuiControl Properties							
							
ClassNN							
Enabled							
Focused							
Gui							
Hwnd							
Name							
Text							
Type							
Value							
Visible							
							
							
GuiControl Functions							
							
Add()							
Choose()							
Delete()							
Focus()							
GetPos()							
Move()							
OnEvent()	"guiCtrl.OnEvent(""Click"", ""MyClickHandler"")"	Working	Yes			V2	Registers a function or method to be called when the given event is raised by a GUI window or control.
OnNotify()	"guiCtrl.OnNotify(0x1234, ""MyNotifyHandler"")"	Working	Yes			V2	Registers a function or method to be called when a control notification is received via the WM_NOTIFY message.
Opt()							
Redraw()							
SetFont()							
SetFormat()							
UseTab()							
							
							
							
Menu/MenuBar Properties							
							
ClickCount	A_TrayMenu.ClickCount := 2	Working	Yes			V2	Retrieves or sets the number of clicks required to activate the tray menu's default item.
Default	"menu.Default = ""File"""						
Handle	x := menu.Handle						
MenuItemCount	menu.MenuItemCount	Working	Yes			NEW	This property is provided to relieve the user of having to use DllCall() as the examples show.
							
Menu/MenuBar Functions							
							
Add()	"menu.Add(""File"", ""ClickHandler"")"					DIFF	"Adds or modifies a menu item. Differs in that the options Pn, Radio, Break and BarBreak are not supported."
Check()							
Delete()							
Disable()							
Enable()							
HideItem()	"menu.HideItem(""File"")"	Working	Yes			NEW	
Insert()							
Rename()							
SetColor()							
SetForeColor()						NEW	
SetIcon()							
Show()							
ShowItem()	"menu.ShowItem(""File"")"	Working	Yes			NEW	Makes a menu item visible.
ToggleCheck()							
ToggleEnable()							
ToggleItemVis()	"menu.ToggleItemVis(""File"")"	Working	Yes			NEW	Toggles the visibility of a menu item.
Uncheck()							
AddStandard()							
							
Menu/MenuBar Static Functions							
							
Call()							
							
							
							
							
							
							
							
							
							
							
							
							
FileSelect()	"val := FileSelect(""M"", fullpath, ""Filename - Path only - Multiselect"")"		Yes			V2	Displays a standard dialog that allows the user to open or save file(s).
DirSelect()	"val := DirSelect(""C:\windows\system32"", 1, ""Please select a folder"")"		Yes			V2	"Displays a standard dialog that allows the user to select a folder. Differs in that it does not support folder access locking, selecting a folder in the tree, showing an edit box because the user can just type in the combo box, option 7, or hiding the New Folder button."
Gui()							
Gui control types							
GuiControl()							
GuiControlGet()							
Gui ListView control							
Gui TreeView control							
IfMsgBox()							
Image Handles							
InputBox()							
LoadPicture()	"val := LoadPicture(""filename.jpg"", ""w100 h100"")"		Yes			V2	"Loads an image, icon or cursor. Differs in that instead of writing to a ref argument, it returns a structure whose fields are Handle and ImageType."
Menu()							
MenuGetHandle()							
MenuGetName()							
MsgBox()	"val := MsgBox(""text"", ""title"")"		Yes			V2	"Displays the specified text in a small window containing one or more buttons. Differs in that the following option values are not supported: 6, 768, 4096, 8192, 262144, 16384 (meaning, no help button). Also, when the timeout options is used, or an owner window is set, the text will be right justified."
OnMessage()							
Progress()							
SplashImage()							
SplashTextOn()							
SplashTextOff()							
Standard Windows Fonts							
Styles for window/control							
ToolTip()	"ToolTip(""some text"", 25, 25)"		Yes			V2	Creates an always-on-top window anywhere on the screen.
TrayTip()	"TrayTip(""some text"", ""a title"", ""3 dur7"")"		Yes			V2	"Creates a toast message window near the tray icon. Differs in that there is no way to mute the system sound specify a large icon. The duration will be 5 seconds by default, but an additional option dur can be used to specify the duration in seconds, such as dur7. The registry key EnableBalloonTips is not observed for disabling the notification. The option 4 has no effect because the tray icon is always shown at the top of the toast."
TraySetIcon()	"TraySetIcon(""filename.ico"", 2)"		Yes			V2	Changes the script's tray icon.
							
ImageList Functions							
							
IL_Create()	val := IL_Create(1)		Yes			V2	"Creates an image list and returns its unique ID. Differs in that it only takes one parameter, LargeIcons, because the first two parameters, InitialCount and GrowCount, have been omitted because C# handles memory internally."
IL_Add()	"val := IL_Add(123, ""filename.jpg"", 1, 1)"		Yes			V2	"Adds an image to an image list, optionally can resize or split the image."
IL_Destroy()	val := IL_Destroy(123)		Yes			V2	"Removes an ImageList from the global list of ImageLists. Note, this does not dispose it, it just removes the reference. The garbage collector will handle final disposal when the reference count goes to 0."
							
							
							
							
							
							
							
							
							
							
							
							
							
							
Window functions							
							
WinGetText						V2	
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
Window group functions							
							
							
							
							
							
							
Control functions							
							
ControlAddItem()							
ControlChooseIndex()							
ControlChooseString()							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
Miscellaneous Functions							
							
							
							
DllCall()							
Exception()							
FileOpen()							
Format()							
Func()							
GetKeyNameVK()							
GetKeyNameSC()							
Hotstring()							
IL_XXX()							
InputHook()							
IsByRef()							
IsFunc()							
IsLabel()							
IsObject()							
LoadPicture()							
LV_XXX()							
							
							
NumGet()							
NumPut()							
ObjAddRef()							
ObjRelease()							
ObjBindMethod()							
ObjGetBase()							
ObjRawGet()							
ObjRawSet()							
ObjSetBase()							
ObjXXX()							
OnError()							
							
							
SB_XXX()							
							
							
							
							
							
							
TV_XXX()							
							
							
Math Functions							
							
Abs()	x := Abs(-1)	Working	DIFF	DIFF	DIFF	V1	"Computes the absolute value. The type returned is always double, regardless of what was passed in."
Ceil()	x := Ceil(1.5)	Working				V1	"Computes the ceiling value of a number, rounding away from zero for positive numbers, and toward zero for negative numbers."
EnvAdd()	DEP	DEP	DEP	DEP	DEP	DEP	"Deprecated, use +="
EnvDiv()	DEP	DEP	DEP	DEP	DEP	DEP	"Deprecated, use /="
EnvMult()	DEP	DEP	DEP	DEP	DEP	DEP	"Deprecated, use *="
EnvSub()	DEP	DEP	DEP	DEP	DEP	DEP	"Deprecated, use -="
DateAdd()							
DateDiff()							
Exp()	x := Exp(1.2)	Working	YES			V1	Computes e raised to the nth power.
Floor()	x := Floor(1.2)	Working	YES			V1	Computes a number rounded down to the nearest integer. Rounds toward zero for positive numbers and away from zero for negative numbers.
Integer()	x := Integer(1.2)	Working	YES			V1	Computes the integer portion of a number.
Log()	x := Log(1.2)	Working	YES			V2	Computes the base 10 logarithm of a number. Throws an exception if a negative number is passed in.
Ln()	x := Ln(1.2)	Working	YES			V2	Computes the base e (natural) logarithm of a number. Throws an exception if a negative number is passed in.
Max()	"z := Max(x, y)"	Working	YES			V1	"Computes the larger of two numbers. If either is not numeric, the empty string is returned. The largest value of an array is computed if one is passed in."
Min()	"z := Min(x, y)"	Working	YES			V1	"Computes the smaller of two numbers. If either is not numeric, the empty string is returned. The smaller value of an array is computed if one is passed in."
Mod()	"z := Mod(x, y)"	Working	YES			V2	Computes the remainder when the first number is divided by the second number. Throws an exception if the second number is 0.
Remainder()	"z := Remainder(x, y)"	Working	YES			NEW	Computes the IEEE remainder when the first number is divided by the second number. Returns 0 if the second number is 0.
Random()	"z := Random(x, y)"	Working	YES			V2	Computes a random number in the range of x to y.
RandomSeed()	RandomSeed(123)	Working (needs loop test)				V2	Resets the seed used for the global random object.
Round()	"Round(x, y)"	Working (needs loop test)				V2	"Computes a number rounded to either the nearest integer, a specified number of decimal places, or a specified number of digits."
SetFormat()							
Sqrt()	x := Sqrt(1.2)	Working	YES			V2	Computes the square root of a number. Throws an exception if the argument is negative.
Cos()	x := Cos(1.2)	Working	YES			V1	Computes the cosine of a number.
Cosh()	x := Cosh(1.2)	Working	YES			NEW	Computes the hyperbolic cosine of a number.
Sin()	x := Sin(1.2)	Working	YES			V1	Computes the hyperbolic sine of a number.
Sinh()	x := Sinh(1.2)	Working	YES			NEW	Computes the hyperbolic sine of a number.
Tan()	x := Tan(1.2)	Working	YES			V1	Computes the tangent of a number.
Tanh()	x := Tanh(1.2)	Working	YES			NEW	Computes the hyperbolic tangent of a number.
Acos()	x := Acos(0.5)	Working	YES			V2	Computes the arc cosine. Throws an exception if the argument value is not between -1 and 1.
Asin()	x := Asin(1.2)	Working	YES			V2	Computes the arc sine. Throws an exception if the argument value is not between -1 and 1.
Atan()	x := Atan(1.2)	Working	YES			V2	Computes the arc tangent.
Atan2()	"z := Atan2(x, y)"	Working	YES			NEW	Computes the arc tangent by using two numbers.
							
							
							
Special Character Built-in Variables							
A_Space		Working	YES			V1	String containing a single space.
A_Tab		Working	YES			V1	String containing a single tab.
							
Script Properties Built-in Variables							
"1, 2, 3"							
A_Args							
A_WorkingDir		Working	YES			V1	The full path of the working folder of the executable compiling and running the script.
A_ScriptDir		Working	YES			V1	"The full path of the script being compiled and ran, without a trailing backslash. Evaluates to a constant string in the C# code output."
A_ScriptName		Working	YES			V1	"The name with extension, but without the path, of the script being compiled and ran. Evaluates to a constant string in the C# code output."
A_ScriptFullPath		Working	YES			V1	The full path of the script being compiled and ran. Evaluates to a constant string in the C# code output.
A_ScriptHwnd		Working	YES			V1	"The handle to the main window, as an int64, if it exists, else 0."
